epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.09735,0,56.2795,0,0,0,0,0,0,7.08303,0,0,0,0
2,9.49332,0,56.3942,0,0,0,0,0,0,7.08684,0,9.901e-06,9.901e-06,9.901e-06
3,13.9158,0,56.2675,0,0,0,0,0,0,7.09072,0,1.9604e-05,1.9604e-05,1.9604e-05
4,18.2146,0,55.9836,0,0,0,0,0,0,7.0947,0,2.9109e-05,2.9109e-05,2.9109e-05
5,22.6111,0,55.7442,0,0,0,0,0,0,7.09842,0,3.8416e-05,3.8416e-05,3.8416e-05
6,27.0074,0,55.5754,0,0,0,0,0,0,7.10193,0,4.7525e-05,4.7525e-05,4.7525e-05
7,31.3956,0,55.2492,0,0,0,0,0,0,7.10502,0,5.6436e-05,5.6436e-05,5.6436e-05
8,36.0772,0,55.0717,0,0,0,0,0,0,7.10791,0,6.5149e-05,6.5149e-05,6.5149e-05
9,40.8893,0,54.8434,0,0,0,0,0,0,7.10791,0,7.3664e-05,7.3664e-05,7.3664e-05
10,45.7295,0,54.8398,0,0,0,0,0,0,7.11314,0,8.1981e-05,8.1981e-05,8.1981e-05
11,50.5097,0,54.6806,0,0,0,0,0,0,7.11314,0,9.01e-05,9.01e-05,9.01e-05
12,54.7305,0,54.4913,0,0,0,0,0,0,7.11797,0,9.8021e-05,9.8021e-05,9.8021e-05
13,59.1126,0,54.2975,0,0,0,0,0,0,7.11797,0,0.000105744,0.000105744,0.000105744
14,63.4981,0,54.1588,0,0,0,0,0,0,7.12192,0,0.000113269,0.000113269,0.000113269
15,67.571,0,53.7978,0,0,0,0,0,0,7.12192,0,0.000120596,0.000120596,0.000120596
16,71.8745,0,53.9066,0,0,0,0,0,0,7.12407,0,0.000127725,0.000127725,0.000127725
17,76.1324,0,53.5189,0,0,0,0,0,0,7.12407,0,0.000134656,0.000134656,0.000134656
18,80.3176,0,53.4882,0,0,0,0,0,0,7.12371,0,0.000141389,0.000141389,0.000141389
19,84.4913,0,52.9227,0,0,0,0,0,0,7.12371,0,0.000147924,0.000147924,0.000147924
20,88.7203,0,53.0001,0,0,0,0,0,0,7.12081,0,0.000154261,0.000154261,0.000154261
21,92.9451,0,52.4388,0,0,0,0,0,0,7.12081,0,0.0001604,0.0001604,0.0001604
22,97.164,0,52.4121,0,0,0,0,0,0,7.11478,0,0.000166341,0.000166341,0.000166341
23,101.488,0,51.8088,0,0,0,0,0,0,7.11478,0,0.000172084,0.000172084,0.000172084
24,105.616,0,51.9148,0,0,0,0,0,0,7.11478,0,0.000177629,0.000177629,0.000177629
25,109.956,0,51.8201,0,0,0,0,0,0,7.10734,0,0.000182976,0.000182976,0.000182976
26,114.148,0,51.2444,0,0,0,0,0,0,7.10734,0,0.000188125,0.000188125,0.000188125
27,118.269,0,51.2657,0,0,0,0,0,0,7.10734,0,0.000193076,0.000193076,0.000193076
28,122.824,0,51.1904,0,0,0,0,0,0,7.09787,0,0.000197829,0.000197829,0.000197829
29,127.056,0,50.5908,0,0,0,0,0,0,7.09787,0,0.000202384,0.000202384,0.000202384
30,131.214,0,50.5756,0,0,0,0,0,0,7.09787,0,0.000206741,0.000206741,0.000206741
31,135.505,0,50.566,0,0,0,0,0,0,7.08323,0,0.0002109,0.0002109,0.0002109
32,139.674,0,50.0557,0,0,0,0,0,0,7.08323,0,0.000214861,0.000214861,0.000214861
33,143.804,0,49.868,0,0,0,0,0,0,7.08323,0,0.000218624,0.000218624,0.000218624
34,148.081,0,49.9895,0,0,0,0,0,0,7.06433,0,0.000222189,0.000222189,0.000222189
35,152.34,0,49.3478,0,0,0,0,0,0,7.06433,0,0.000225556,0.000225556,0.000225556
36,156.493,0,49.5857,0,0,0,0,0,0,7.06433,0,0.000228725,0.000228725,0.000228725
37,160.751,0,49.3619,0,0,0,0,0,0,7.06433,0,0.000231696,0.000231696,0.000231696
38,165.028,0,49.4969,0,0,0,0,0,0,7.04056,0,0.000234469,0.000234469,0.000234469
39,169.268,0,48.7338,0,0,0,0,0,0,7.04056,0,0.000237044,0.000237044,0.000237044
40,173.373,0,49.1472,0,0,0,0,0,0,7.04056,0,0.000239421,0.000239421,0.000239421
41,177.708,0,48.7629,0,0,0,0,0,0,7.04056,0,0.0002416,0.0002416,0.0002416
42,181.969,0,50.0598,0,0,0,0,0,0,7.01217,0,0.000243581,0.000243581,0.000243581
43,186.131,0,48.3647,0,0,0,0,0,0,7.01217,0,0.000245364,0.000245364,0.000245364
44,190.462,0,48.5053,0,0,0,0,0,0,7.01217,0,0.000246949,0.000246949,0.000246949
45,194.737,0,48.4394,0,0,0,0,0,0,7.01217,0,0.000248336,0.000248336,0.000248336
46,198.976,0,48.3428,0,0,0,0,0,0,6.97699,0,0.000249525,0.000249525,0.000249525
47,203.175,0,48.0547,0,0,0,0,0,0,6.97699,0,0.000250516,0.000250516,0.000250516
48,207.279,0,48.0063,0,0,0,0,0,0,6.97699,0,0.000251309,0.000251309,0.000251309
49,211.597,0,48.0209,0,0,0,0,0,0,6.97699,0,0.000251904,0.000251904,0.000251904
50,215.763,0,48.0967,0,0,0,0,0,0,6.94072,0,0.000252301,0.000252301,0.000252301
51,220.067,0,47.7419,0,0,0,0,0,0,6.94072,0,0.0002525,0.0002525,0.0002525
52,224.19,0,47.6108,0,0,0,0,0,0,6.94072,0,0.000252501,0.000252501,0.000252501
53,228.458,0,47.5645,0,0,0,0,0,0,6.94072,0,0.000252304,0.000252304,0.000252304
54,234.055,0,47.7045,0,0,0,0,0,0,6.94072,0,0.000251909,0.000251909,0.000251909
55,238.355,0,47.469,0,0,0,0,0,0,6.89641,0,0.000251316,0.000251316,0.000251316
56,243.011,0,46.8606,0,0,0,0,0,0,6.89641,0,0.000250525,0.000250525,0.000250525
57,247.754,0,46.8734,0,0,0,0,0,0,6.89641,0,0.000249536,0.000249536,0.000249536
58,252.158,0,46.9272,0,0,0,0,0,0,6.89641,0,0.000248349,0.000248349,0.000248349
59,256.535,0,47.1089,0,0,0,0,0,0,6.89641,0,0.000246964,0.000246964,0.000246964
60,260.906,0,46.9103,0,0,0,0,0,0,6.83503,0,0.000245381,0.000245381,0.000245381
61,265.304,0,46.5516,0,0,0,0,0,0,6.83503,0,0.0002436,0.0002436,0.0002436
62,269.531,0,46.4784,0,0,0,0,0,0,6.83503,0,0.000241621,0.000241621,0.000241621
63,274,0,46.5785,0,0,0,0,0,0,6.83503,0,0.000239444,0.000239444,0.000239444
64,278.43,0,46.5939,0,0,0,0,0,0,6.83503,0,0.000237069,0.000237069,0.000237069
65,282.74,0,46.5597,0,0,0,0,0,0,6.7683,0,0.000234496,0.000234496,0.000234496
66,287.084,0,46.245,0,0,0,0,0,0,6.7683,0,0.000231725,0.000231725,0.000231725
67,291.472,0,46.1834,0,0,0,0,0,0,6.7683,0,0.000228756,0.000228756,0.000228756
68,295.984,0,46.0795,0,0,0,0,0,0,6.7683,0,0.000225589,0.000225589,0.000225589
69,300.595,0,46.2254,0,0,0,0,0,0,6.7683,0,0.000222224,0.000222224,0.000222224
70,304.759,0,46.3341,0,0,0,0,0,0,6.7683,0,0.000218661,0.000218661,0.000218661
71,309.1,0,46.1702,0,0,0,0,0,0,6.69548,0,0.0002149,0.0002149,0.0002149
72,313.333,0,45.9996,0,0,0,0,0,0,6.69548,0,0.000210941,0.000210941,0.000210941
73,317.697,0,46.0555,0,0,0,0,0,0,6.69548,0,0.000206784,0.000206784,0.000206784
74,321.953,0,47.5141,0,0,0,0,0,0,6.69548,0,0.000202429,0.000202429,0.000202429
75,326.111,0,45.8577,0,0,0,0,0,0,6.69548,0,0.000197876,0.000197876,0.000197876
76,330.49,0,46.0712,0,0,0,0,0,0,6.69548,0,0.000193125,0.000193125,0.000193125
77,334.698,0,46.0802,0,0,0,0,0,0,6.64669,0,0.000188176,0.000188176,0.000188176
78,338.893,0,45.8033,0,0,0,0,0,0,6.64669,0,0.000183029,0.000183029,0.000183029
79,343.012,0,45.7048,0,0,0,0,0,0,6.64669,0,0.000177684,0.000177684,0.000177684
80,347.451,0,45.6016,0,0,0,0,0,0,6.64669,0,0.000172141,0.000172141,0.000172141
81,351.67,0,45.6294,0,0,0,0,0,0,6.64669,0,0.0001664,0.0001664,0.0001664
82,355.819,0,45.5366,0,0,0,0,0,0,6.64669,0,0.000160461,0.000160461,0.000160461
83,360.067,0,45.6371,0,0,0,0,0,0,6.64669,0,0.000154324,0.000154324,0.000154324
84,364.414,0,45.567,0,0,0,0,0,0,6.59442,0,0.000147989,0.000147989,0.000147989
85,368.609,0,45.4442,0,0,0,0,0,0,6.59442,0,0.000141456,0.000141456,0.000141456
86,372.864,0,45.5452,0,0,0,0,0,0,6.59442,0,0.000134725,0.000134725,0.000134725
87,377.225,0,45.5284,0,0,0,0,0,0,6.59442,0,0.000127796,0.000127796,0.000127796
88,381.451,0,45.5715,0,0,0,0,0,0,6.59442,0,0.000120669,0.000120669,0.000120669
89,385.667,0,46.0489,0,0,0,0,0,0,6.59442,0,0.000113344,0.000113344,0.000113344
90,389.883,0,45.3787,0,0,0,0,0,0,6.59442,0,0.000105821,0.000105821,0.000105821
91,394.245,0,45.4479,0,0,0,0,0,0,6.55497,0,9.81e-05,9.81e-05,9.81e-05
92,398.568,0,45.4788,0,0,0,0,0,0,6.55497,0,9.0181e-05,9.0181e-05,9.0181e-05
93,402.759,0,45.3879,0,0,0,0,0,0,6.55497,0,8.2064e-05,8.2064e-05,8.2064e-05
94,407.065,0,45.4901,0,0,0,0,0,0,6.55497,0,7.3749e-05,7.3749e-05,7.3749e-05
95,411.537,0,45.4462,0,0,0,0,0,0,6.55497,0,6.5236e-05,6.5236e-05,6.5236e-05
96,416.007,0,45.4546,0,0,0,0,0,0,6.55497,0,5.6525e-05,5.6525e-05,5.6525e-05
97,420.807,0,45.4807,0,0,0,0,0,0,6.55497,0,4.7616e-05,4.7616e-05,4.7616e-05
98,425.812,0,45.5347,0,0,0,0,0,0,6.55497,0,3.8509e-05,3.8509e-05,3.8509e-05
99,431.415,0,45.6649,0,0,0,0,0,0,6.49077,0,2.9204e-05,2.9204e-05,2.9204e-05
100,436.777,0,45.363,0,0,0,0,0,0,6.49077,0,1.9701e-05,1.9701e-05,1.9701e-05
