epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.2783,0,64.0661,0,0,0,0,0,0,0,0,5e-05,5e-05,5e-05
2,56.9455,0,62.8146,0,0,0,0,0,0,0,0,0.000108911,0.000108911,0.000108911
3,86.8965,0,61.8355,0,0,0,0,0,0,0,0,0.000166634,0.000166634,0.000166634
4,117.815,0,60.5554,0,0,0,0,0,0,0,0,0.000223169,0.000223169,0.000223169
5,144.981,0,59.4228,0,0,0,0,0,0,0,0,0.000278516,0.000278516,0.000278516
6,172.211,0,58.1296,0,0,0,0,0,0,0,0,0.000332675,0.000332675,0.000332675
7,199.351,0,57.0971,0,0,0,0,0,0,0,0,0.000385646,0.000385646,0.000385646
8,226.046,0,55.8867,0,0,0,0,0,0,0,0,0.000437429,0.000437429,0.000437429
9,254.265,0,54.8212,0,0,0,0,0,0,0,0,0.000488024,0.000488024,0.000488024
10,282.011,0,53.853,0,0,0,0,0,0,0,0,0.000537431,0.000537431,0.000537431
11,309.452,0,52.8331,0,0,0,0,0,0,0,0,0.00058565,0.00058565,0.00058565
12,336.87,0,52.0464,0,0,0,0,0,0,0,0,0.000632681,0.000632681,0.000632681
13,363.646,0,51.2066,0,0,0,0,0,0,0,0,0.000678524,0.000678524,0.000678524
14,391.706,0,50.5476,0,0,0,0,0,0,0,0,0.000723179,0.000723179,0.000723179
15,418.659,0,49.9678,0,0,0,0,0,0,0,0,0.000766646,0.000766646,0.000766646
16,445.895,0,49.3698,0,0,0,0,0,0,0,0,0.000808925,0.000808925,0.000808925
17,472.73,0,48.9085,0,0,0,0,0,0,0,0,0.0008416,0.0008416,0.0008416
18,499.646,0,48.3304,0,0,0,0,0,0,0,0,0.0008317,0.0008317,0.0008317
19,526.684,0,47.6905,0,0,0,0,0,0,0,0,0.0008218,0.0008218,0.0008218
20,553.401,0,47.2006,0,0,0,0,0,0,0,0,0.0008119,0.0008119,0.0008119
21,580.712,0,46.8402,0,0,0,0,0,0,0,0,0.000802,0.000802,0.000802
22,607.754,0,46.7167,0,0,0,0,0,0,0,0,0.0007921,0.0007921,0.0007921
23,637.345,0,46.8201,0,0,0,0,0,0,0,0,0.0007822,0.0007822,0.0007822
24,669.458,0,45.5397,0,0,0,0,0,0,0,0,0.0007723,0.0007723,0.0007723
25,701.889,0,45.2733,0,0,0,0,0,0,0,0,0.0007624,0.0007624,0.0007624
26,732.787,0,44.9001,0,0,0,0,0,0,0,0,0.0007525,0.0007525,0.0007525
27,762.195,0,44.61,0,0,0,0,0,0,0,0,0.0007426,0.0007426,0.0007426
28,789.389,0,44.2108,0,0,0,0,0,0,0,0,0.0007327,0.0007327,0.0007327
29,816.592,0,43.8738,0,0,0,0,0,0,0,0,0.0007228,0.0007228,0.0007228
30,843.76,0,43.6464,0,0,0,0,0,0,0,0,0.0007129,0.0007129,0.0007129
