epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.366,0,32.0713,0,0,0,0,0,0,37.8597,0,4e-05,4e-05,4e-05
2,26.8028,0,31.7534,0,0,0,0,0,0,37.9569,0,8.9406e-05,8.9406e-05,8.9406e-05
3,40.0007,0,31.3446,0,0,0,0,0,0,38.0004,0,0.000138152,0.000138152,0.000138152
4,53.6286,0,31.0457,0,0,0,0,0,0,38.0723,0,0.000186238,0.000186238,0.000186238
5,66.8003,0,30.662,0,0,0,0,0,0,38.08,0,0.000233664,0.000233664,0.000233664
6,80.1681,0,30.2733,0,0,0,0,0,0,38.0435,0,0.00028043,0.00028043,0.00028043
7,93.3707,0,29.9147,0,0,0,0,0,0,37.9208,0,0.000326536,0.000326536,0.000326536
8,106.744,0,29.3423,0,0,0,0,0,0,37.9208,0,0.000371982,0.000371982,0.000371982
9,120.427,0,29.0501,0,0,0,0,0,0,37.6868,0,0.000416768,0.000416768,0.000416768
10,134.661,0,28.8875,0,0,0,0,0,0,37.3077,0,0.000460894,0.000460894,0.000460894
11,151.198,0,28.351,0,0,0,0,0,0,37.3077,0,0.00050436,0.00050436,0.00050436
12,169.489,0,28.3283,0,0,0,0,0,0,36.7328,0,0.000547166,0.000547166,0.000547166
13,187.814,0,27.8711,0,0,0,0,0,0,36.7328,0,0.000589312,0.000589312,0.000589312
14,203.337,0,27.8259,0,0,0,0,0,0,36.7328,0,0.000630798,0.000630798,0.000630798
15,217.164,0,27.6343,0,0,0,0,0,0,35.5478,0,0.000671624,0.000671624,0.000671624
16,231.851,0,27.2502,0,0,0,0,0,0,35.5478,0,0.00071179,0.00071179,0.00071179
17,250.31,0,27.2399,0,0,0,0,0,0,35.5478,0,0.000751296,0.000751296,0.000751296
18,263.79,0,26.7442,0,0,0,0,0,0,33.3703,0,0.000790142,0.000790142,0.000790142
19,277.221,0,26.6651,0,0,0,0,0,0,33.3703,0,0.000828328,0.000828328,0.000828328
20,292.302,0,26.5244,0,0,0,0,0,0,33.3703,0,0.000865854,0.000865854,0.000865854
21,311.466,0,26.3548,0,0,0,0,0,0,31.1624,0,0.000868,0.000868,0.000868
22,326.723,0,26.0765,0,0,0,0,0,0,31.1624,0,0.0008614,0.0008614,0.0008614
23,341.885,0,26.0166,0,0,0,0,0,0,31.1624,0,0.0008548,0.0008548,0.0008548
24,359.018,0,25.8892,0,0,0,0,0,0,29.0884,0,0.0008482,0.0008482,0.0008482
25,376.1,0,25.5634,0,0,0,0,0,0,29.0884,0,0.0008416,0.0008416,0.0008416
26,393.668,0,25.5858,0,0,0,0,0,0,29.0884,0,0.000835,0.000835,0.000835
27,411.057,0,25.5029,0,0,0,0,0,0,27.5819,0,0.0008284,0.0008284,0.0008284
